FEN,PieceCount,Source,Question,Agent1_Sec,SPARQL_Exec_Sec,Agent2_Sec,Facts_Found,CoT_Judge_Score,ErrorLog
2r5/p2bk1Q1/1p2p3/3nN3/3P4/8/Pq3PPP/4R1K1 b - - 0 25,17,Template,Describe the overall state of the board.,6.15,0.09,26.74,19,1,None
2r5/p2bk1Q1/1p2p3/3nN3/3P4/8/Pq3PPP/4R1K1 b - - 0 25,17,Fuzzer,How effectively can Black coordinate its pieces to secure the king against the combined pressure of the White Queen and Knight?,16.53,0.09,21.19,19,1,None
3r2q1/5prk/p3pQpp/1p2P3/2p4R/2P2P1P/PPB2P2/6K1 b - - 2 29,22,Template,Which pieces are currently attacking the opposing King?,5.9,0.08,4.63,0,1,None
3r2q1/5prk/p3pQpp/1p2P3/2p4R/2P2P1P/PPB2P2/6K1 b - - 2 29,22,Fuzzer,What defensive maneuvers can Black employ to counter the centralized influence of the Queen on f6?,17.76,0.08,5.27,0,1,None
2rq1r1k/1p2b1pp/p7/2N1R3/3BQ3/7P/PP3PP1/6K1 b - - 0 24,19,Template,Which pieces are currently attacking the opposing King?,5.91,0.08,5.3,0,0,None
2rq1r1k/1p2b1pp/p7/2N1R3/3BQ3/7P/PP3PP1/6K1 b - - 0 24,19,Fuzzer,"Which weaknesses does the setup of the b7 pawn and the c8 rook present, given the powerful knight on c5?",18.05,0.09,11.06,7,0,None
8/pp5k/1n2p2N/2p3n1/2P4P/1P2R3/Prr5/6RK w - - 1 35,17,Template,Describe the overall state of the board.,6.58,0.1,17.6,16,1,None
8/pp5k/1n2p2N/2p3n1/2P4P/1P2R3/Prr5/6RK w - - 1 35,17,Fuzzer,How can White initiate counterplay against Black's coordinated rooks and knights?,14.46,0,0,0,0,"('Error at UNION', 433)"
r1b2rk1/pp1p1ppp/1b3q2/3N4/1P2P3/P4P2/6PP/R2QKB1R b KQ - 1 15,24,Template,What files or ranks are currently open?,6.23,0.09,9.99,5,1,None
r1b2rk1/pp1p1ppp/1b3q2/3N4/1P2P3/P4P2/6PP/R2QKB1R b KQ - 1 15,24,Fuzzer,Which attacks are available against the centralized knight on d5?,9.57,0.08,4.22,0,1,None
